2026-03-24 11:31:07.057 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 11:31:12.550 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 11:31:22.834 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:40:24.781 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:43:05.052 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:46:28.357 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:51:29.352 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:56:52.930 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:01:40.852 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:06:43.230 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:14:34.379 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:16:22.359 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:21:20.285 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:26:25.339 | ERROR    | __main__:run_once:380 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 12:29:14.906 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=4&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-03-24 12:29:21.000 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-03-24 12:29:27.650 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-03-24 12:56:58.787 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-03-24 12:57:07.365 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-03-24 12:57:17.136 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
