code,name,market,type,latest_price,change_pct,volume,amount,market_cap,pe_ratio,pb_ratio
000816,智慧农业,SZ,A 股,0,0,0,0,0,0,0
000818,航锦科技,SZ,A 股,0,0,0,0,0,0,0
000819,岳阳兴长,SZ,A 股,0,0,0,0,0,0,0
000820,*ST节能,SZ,A 股,0,0,0,0,0,0,0
000821,ST京机,SZ,A 股,0,0,0,0,0,0,0
000822,山东海化,SZ,A 股,0,0,0,0,0,0,0
000823,超声电子,SZ,A 股,0,0,0,0,0,0,0
000825,太钢不锈,SZ,A 股,0,0,0,0,0,0,0
000826,启迪环境,SZ,A 股,0,0,0,0,0,0,0
000828,东莞控股,SZ,A 股,0,0,0,0,0,0,0
000829,天音控股,SZ,A 股,0,0,0,0,0,0,0
000830,鲁西化工,SZ,A 股,0,0,0,0,0,0,0
000831,中国稀土,SZ,A 股,0,0,0,0,0,0,0
000833,粤桂股份,SZ,A 股,0,0,0,0,0,0,0
000837,秦川机床,SZ,A 股,0,0,0,0,0,0,0
000838,财信发展,SZ,A 股,0,0,0,0,0,0,0
000839,国安股份,SZ,A 股,0,0,0,0,0,0,0
000848,承德露露,SZ,A 股,0,0,0,0,0,0,0
000850,华茂股份,SZ,A 股,0,0,0,0,0,0,0
000852,石化机械,SZ,A 股,0,0,0,0,0,0,0
000856,冀东装备,SZ,A 股,0,0,0,0,0,0,0
000858,五 粮 液,SZ,A 股,0,0,0,0,0,0,0
000859,国风新材,SZ,A 股,0,0,0,0,0,0,0
000860,顺鑫农业,SZ,A 股,0,0,0,0,0,0,0
000862,银星能源,SZ,A 股,0,0,0,0,0,0,0
000863,三湘印象,SZ,A 股,0,0,0,0,0,0,0
000868,安凯客车,SZ,A 股,0,0,0,0,0,0,0
000869,张  裕Ａ,SZ,A 股,0,0,0,0,0,0,0
000875,电投绿能,SZ,A 股,0,0,0,0,0,0,0
000876,新 希 望,SZ,A 股,0,0,0,0,0,0,0
000877,天山股份,SZ,A 股,0,0,0,0,0,0,0
000878,云南铜业,SZ,A 股,0,0,0,0,0,0,0
000880,潍柴重机,SZ,A 股,0,0,0,0,0,0,0
000881,中广核技,SZ,A 股,0,0,0,0,0,0,0
000882,华联股份,SZ,A 股,0,0,0,0,0,0,0
000883,湖北能源,SZ,A 股,0,0,0,0,0,0,0
000885,城发环境,SZ,A 股,0,0,0,0,0,0,0
000886,海南高速,SZ,A 股,0,0,0,0,0,0,0
000887,中鼎股份,SZ,A 股,0,0,0,0,0,0,0
000888,峨眉山Ａ,SZ,A 股,0,0,0,0,0,0,0
000889,中嘉博创,SZ,A 股,0,0,0,0,0,0,0
000890,法尔胜,SZ,A 股,0,0,0,0,0,0,0
000892,欢瑞世纪,SZ,A 股,0,0,0,0,0,0,0
000893,亚钾国际,SZ,A 股,0,0,0,0,0,0,0
000895,双汇发展,SZ,A 股,0,0,0,0,0,0,0
000897,津滨发展,SZ,A 股,0,0,0,0,0,0,0
000898,鞍钢股份,SZ,A 股,0,0,0,0,0,0,0
000899,赣能股份,SZ,A 股,0,0,0,0,0,0,0
000900,现代投资,SZ,A 股,0,0,0,0,0,0,0
000901,航天科技,SZ,A 股,0,0,0,0,0,0,0
000902,新洋丰,SZ,A 股,0,0,0,0,0,0,0
000903,ST云动,SZ,A 股,0,0,0,0,0,0,0
000905,厦门港务,SZ,A 股,0,0,0,0,0,0,0
000906,浙商中拓,SZ,A 股,0,0,0,0,0,0,0
000908,*ST景峰,SZ,A 股,0,0,0,0,0,0,0
